State,City,Postcode,State Population Rank,Household Income,Median Age,Population,Race White,Starbucks Count
MI,MATTAWAN,49071,14,71440,40.1,9585,9071,283
RI,ASHAWAY,02804,50,71439,53,2228,2228,27
MI,LEONARD,48367,14,71429,44.8,4544,4339,283
NJ,THOROFARE,08086,18,71424,42.5,7553,6358,261
LA,PAULINA,70763,28,71420,37.6,3701,2775,84
WI,JOHNSON CREEK,53038,22,71406,36.2,4132,3973,145
MA,METHUEN,01844,23,71392,39,48607,38602,273
TX,RED OAK,75154,2,71380,35.3,38440,25425,1042
MA,BUCKLAND,01338,23,71375,53.6,196,196,273
IL,OAKDALE,62268,5,71375,49,674,674,575
KS,VALLEY CENTER,67147,29,71362,36,9812,9516,94
SD,LYONS,57041,43,71354,35.2,141,141,25
MO,WOOLDRIDGE,65287,21,71354,43.7,451,447,188
NH,WILTON,03086,46,71352,44.6,3757,3694,29
MD,JOPPA,21085,15,71338,41.2,16209,13075,257
IA,REASNOR,50232,32,71313,44.5,487,481,89
MI,OXFORD,48371,14,71307,41,23311,22490,283
WY,FREEDOM,83120,44,71304,35.6,1076,1076,23
RI,ROCKVILLE,02873,50,71296,38.7,218,218,27
PA,HUMMELSTOWN,17036,11,71290,41.1,21792,18996,357
FL,APOLLO BEACH,33572,3,71289,44.7,15951,13759,694
TX,HOUSTON,77068,2,71276,40.2,11015,6406,1042
MA,POCASSET,02559,23,71271,54,4366,4107,273
TN,ROCKVALE,37153,19,71265,37.5,5828,5331,180
IL,CAMERON,61423,5,71250,47.4,673,673,575
IA,BEVINGTON,50033,32,71250,42.5,28,27,89
SD,QUINN,57775,43,71250,36,280,268,25
MA,WINDSOR,01270,23,71250,49.2,789,770,273
PA,PARKER FORD,19457,11,71250,51.4,195,175,357
CT,BANTAM,06750,30,71250,44.4,1485,1427,123
